cte,steering_angle,error
0.5464,-0.02032,1.29135
0.5454,-0.02227,1.29021
0.5438,-0.01919,1.28906
0.5428,-0.02214,1.28792
0.5563,-0.095315,1.2868
0.5895,-0.195475,1.28572
0.6572,-0.37136,1.28474
0.7208,-0.35404,1.28387
0.7509,-0.188045,1.28304
0.7723,-0.145615,1.28226
0.771,-0.03205,1.28148
0.752,0.0574,1.28066
0.7214,0.11693,1.2798
0.6872,0.13664,1.27888
0.6659,0.073205,1.27793
0.6401,0.096995,1.27695
0.6204,0.06748,1.27593
0.6111,0.015945,1.27491
0.6029,0.010855,1.27388
0.5999,-0.014995,1.27285
0.6011,-0.036055,1.27182
0.6052,-0.05076,1.27081
